article_id,database_id,source,slug,title,h1,url,language,category,tag,content_hash,content_words,canonical,indexable,sitemap,status
code:brazilian-portuguese-for-cultural-adaptation-in-the-first-90-days,,versioned_code,brazilian-portuguese-for-cultural-adaptation-in-the-first-90-days,Título SEO: Brazilian Portuguese for Cultural Adaptation: Your First 90 Days in Brazil,Título SEO: Brazilian Portuguese for Cultural Adaptation: Your First 90 Days in Brazil,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-cultural-adaptation-in-the-first-90-days,en,brazilian-portuguese,Brazilian Portuguese,668e223af7c6827766ec71903498c287503b53918b0005440a71e98b3b10db26,1075,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-cultural-adaptation-in-the-first-90-days,yes,yes,catalog_record
code:portuguese-for-everyday-bureaucracy-in-brazil,,versioned_code,portuguese-for-everyday-bureaucracy-in-brazil,Portuguese for everyday bureaucracy in Brazil: Your survival guide,Portuguese for everyday bureaucracy in Brazil: Your survival guide,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,en,brazilian-portuguese,Brazilian Portuguese,ed76fe1f007b13699ae19844261c5ec6d0e2d44f070eb69b78a847fdd732289f,1320,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,yes,yes,catalog_record
code:how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,,versioned_code,how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,"How to sound natural when saying yes, no and maybe in Portuguese","How to sound natural when saying yes, no and maybe in Portuguese",https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,en,brazilian-portuguese,Brazilian Portuguese,6311ae856b862707c2805fbff080406d66596b5ca78528749a016f07100dd8d4,1258,https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,yes,yes,catalog_record
code:how-to-ask-better-questions-in-brazilian-portuguese,,versioned_code,how-to-ask-better-questions-in-brazilian-portuguese,How to ask better questions in Brazilian Portuguese,How to ask better questions in Brazilian Portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,en,brazilian-portuguese,Brazilian Portuguese,e1431c399265b191501e263976b1862273ac1de4a3c8defb72a1ad7bb9e10537,2896,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,yes,yes,catalog_record
code:how-to-greet-people-in-brazil-without-sounding-too-formal,,versioned_code,how-to-greet-people-in-brazil-without-sounding-too-formal,How to greet people in Brazil without sounding too formal,How to greet people in Brazil without sounding too formal,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,en,brazilian-portuguese,Brazilian Portuguese,c7fee5c481f9792fe7330334d8b7a4349fb452a247d5aeeba0e65b15c4d76bef,2242,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,yes,yes,catalog_record
code:how-to-use-live-classes-to-gain-speaking-confidence,,versioned_code,how-to-use-live-classes-to-gain-speaking-confidence,How to use live classes to gain speaking confidence,How to use live classes to gain speaking confidence,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,en,brazilian-portuguese,Brazilian Portuguese,e796b012b8d6d3726497970fa8f6df1ef539b366398373d5dd15a9f1efe81457,2865,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,yes,yes,catalog_record
code:portuguese-for-airport-arrival-and-first-hotel-check-in,,versioned_code,portuguese-for-airport-arrival-and-first-hotel-check-in,Portuguese for airport arrival and first hotel check-in,Portuguese for airport arrival and first hotel check-in,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,en,brazilian-portuguese,Brazilian Portuguese,f1a9d51d602100d978b610d759f674126e1ff23c8f755acf0337267f7eb814f5,2798,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,yes,yes,catalog_record
code:portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,,versioned_code,portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,Portuguese for Brazil: a realistic study path from A1 to B1,Portuguese for Brazil: a realistic study path from A1 to B1,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,en,brazilian-portuguese,Brazilian Portuguese,d21159b5d909a9d01c179e4d5a4126d33d22ab366260c7fc501ff11d267eb85a,2553,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,yes,yes,catalog_record
code:portugues-brasileno-para-llegar-a-brasil-preparado,,versioned_code,portugues-brasileno-para-llegar-a-brasil-preparado,Portugués brasileño para llegar a Brasil preparado,Portugués brasileño para llegar a Brasil preparado,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,es,portugues-brasileno,Portugués brasileño,552d32295a574d6268db31d4e8ce62681ff354fbd5ff44f0d780c127cae551d2,2364,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,yes,yes,catalog_record
code:brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,,versioned_code,brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,Brasilianisches Portugiesisch für Auswanderer: die wichtigsten Grundlagen,Brasilianisches Portugiesisch für Auswanderer: die wichtigsten Grundlagen,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,de,,Deutsch,8b7726ad06782ce20aa1eddef33aae5cbeb965b862b48420f13059c8dbe40a7c,2137,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,yes,yes,catalog_record
code:brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,,versioned_code,brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,Brasilianisches Portugiesisch für Führungskräfte und Manager,Brasilianisches Portugiesisch für Führungskräfte und Manager,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,de,,Deutsch,418a3aba3fd0148ceb0a9d8faa576c48fd5ff0238aacb5bfad4349418d9b5136,974,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,yes,yes,catalog_record
code:portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,,versioned_code,portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,Portugais brésilien pour expatriés : les bases avant de vivre au Brésil,Portugais brésilien pour expatriés : les bases avant de vivre au Brésil,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,fr,,Français,5f6c737b08c079a5cb2592aa19f8498d9f64bbac94603099f9c80f6adb05b69f,2123,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,yes,yes,catalog_record
code:portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,,versioned_code,portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,Portugais du Brésil pour familles qui s'installent au Brésil.md,Portugais du Brésil pour familles qui s'installent au Brésil.md,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,fr,,Français,c484084399d78ef2902bda5f8a6ac70590faa15f077cc939a20e6d2a7da8a25a,1279,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,yes,yes,catalog_record
code:ple-zh-078,,versioned_code,ple-zh-078,90天建立巴西葡萄牙语基础的计划,90天建立巴西葡萄牙语基础的计划,https://vediums.com/blog/ple-zh-078,zh-CN,,中文,5f6dd04fddc5e7818cc22eefa90a3b573339ccfc1049e8c29a5fc2a41e117349,540,https://vediums.com/blog/ple-zh-078,yes,yes,catalog_record
code:ple-ru-077,,versioned_code,ple-ru-077,Реалистичный план изучения бразильского португальского на 90 дней,Реалистичный план изучения бразильского португальского на 90 дней,https://vediums.com/blog/ple-ru-077,ru-RU,,Русский,f2257283e15e34eed424b1953533809b96774c0363d26f7ea982cadc3992e69e,2620,https://vediums.com/blog/ple-ru-077,yes,yes,catalog_record
code:alfabeto-ioruba-sons-marcas-e-primeiras-leituras,,versioned_code,alfabeto-ioruba-sons-marcas-e-primeiras-leituras,"Alfabeto iorubá: sons, marcas e primeiras leituras","Alfabeto iorubá: sons, marcas e primeiras leituras",https://vediums.com/blog/ioruba/alfabeto-ioruba-sons-marcas-e-primeiras-leituras,pt-BR,ioruba,Iorubá,40304d1ad8d036cd98077155941d72614a492ddcedc48db4d02884627ff2f8cd,2821,https://vediums.com/blog/ioruba/alfabeto-ioruba-sons-marcas-e-primeiras-leituras,yes,yes,catalog_record
code:como-ouvir-cantigas-em-ioruba-com-mais-atencao-ao-significado,,versioned_code,como-ouvir-cantigas-em-ioruba-com-mais-atencao-ao-significado,Como ouvir cantigas em iorubá com mais atenção ao significado,Como ouvir cantigas em iorubá com mais atenção ao significado,https://vediums.com/blog/ioruba/como-ouvir-cantigas-em-ioruba-com-mais-atencao-ao-significado,pt-BR,ioruba,Iorubá,0deca139974c6f354aa9e9689084c521fa3a1497998395ddea29c6910cddcac7,2512,https://vediums.com/blog/ioruba/como-ouvir-cantigas-em-ioruba-com-mais-atencao-ao-significado,yes,yes,catalog_record
code:o-papel-da-oralidade-no-aprendizado-do-ioruba,,versioned_code,o-papel-da-oralidade-no-aprendizado-do-ioruba,O papel da oralidade no aprendizado do iorubá,O papel da oralidade no aprendizado do iorubá,https://vediums.com/blog/ioruba/o-papel-da-oralidade-no-aprendizado-do-ioruba,pt-BR,ioruba,Iorubá,34789607d19fe3495ba5b775aa651760785b5cc461c7b332b2d986d649fa193d,2572,https://vediums.com/blog/ioruba/o-papel-da-oralidade-no-aprendizado-do-ioruba,yes,yes,catalog_record
code:checklist-para-escolher-sua-primeira-turma-de-ingles-online-ao-vivo,,versioned_code,checklist-para-escolher-sua-primeira-turma-de-ingles-online-ao-vivo,Checklist para escolher sua primeira turma de inglês online ao vivo,Checklist para escolher sua primeira turma de inglês online ao vivo,https://vediums.com/blog/ingles/checklist-para-escolher-sua-primeira-turma-de-ingles-online-ao-vivo,pt-BR,ingles,Inglês,bdede59a483b7b63e8f3ed15ef07207112a38ce1676ddd0107809ecbbb0af9c9,2717,https://vediums.com/blog/ingles/checklist-para-escolher-sua-primeira-turma-de-ingles-online-ao-vivo,yes,yes,catalog_record
code:como-evitar-a-estagnacao-no-nivel-intermediario-de-ingles,,versioned_code,como-evitar-a-estagnacao-no-nivel-intermediario-de-ingles,Como evitar a estagnação no nível intermediário de inglês,Como evitar a estagnação no nível intermediário de inglês,https://vediums.com/blog/ingles/como-evitar-a-estagnacao-no-nivel-intermediario-de-ingles,pt-BR,ingles,Inglês,9779f0cb15e7943ab7c531c20afa5486233fb846e2f57c969a80e51f1e0503c4,2420,https://vediums.com/blog/ingles/como-evitar-a-estagnacao-no-nivel-intermediario-de-ingles,yes,yes,catalog_record
code:como-melhorar-o-listening-usando-situacoes-reais-do-trabalho,,versioned_code,como-melhorar-o-listening-usando-situacoes-reais-do-trabalho,Como melhorar o listening usando situações reais do trabalho,Como melhorar o listening usando situações reais do trabalho,https://vediums.com/blog/ingles/como-melhorar-o-listening-usando-situacoes-reais-do-trabalho,pt-BR,ingles,Inglês,8c95778b5578006280735b008152d3ac6031d7f02ab96408feaec7f660a4ca74,2459,https://vediums.com/blog/ingles/como-melhorar-o-listening-usando-situacoes-reais-do-trabalho,yes,yes,catalog_record
code:como-sair-do-verbo-to-be-e-comecar-a-formar-frases-uteis,,versioned_code,como-sair-do-verbo-to-be-e-comecar-a-formar-frases-uteis,Como sair do verbo to be e começar a formar frases úteis,Como sair do verbo to be e começar a formar frases úteis,https://vediums.com/blog/ingles/como-sair-do-verbo-to-be-e-comecar-a-formar-frases-uteis,pt-BR,ingles,Inglês,c43e8f70458a1909dd2f81391c3eb505f7e9c5a8e2abe699030245f8de8be9cd,2944,https://vediums.com/blog/ingles/como-sair-do-verbo-to-be-e-comecar-a-formar-frases-uteis,yes,yes,catalog_record
code:ingles-para-entrevista-de-emprego-perguntas-e-respostas-que-voce-precisa-treinar,,versioned_code,ingles-para-entrevista-de-emprego-perguntas-e-respostas-que-voce-precisa-treinar,Inglês para entrevista de emprego: perguntas e respostas que você precisa treinar,Inglês para entrevista de emprego: perguntas e respostas que você precisa treinar,https://vediums.com/blog/ingles/ingles-para-entrevista-de-emprego-perguntas-e-respostas-que-voce-precisa-treinar,pt-BR,ingles,Inglês,694978ace898499f62b5e5e0c0511d1c0d912c63a32a0ccdf021678def6ba0ef,2762,https://vediums.com/blog/ingles/ingles-para-entrevista-de-emprego-perguntas-e-respostas-que-voce-precisa-treinar,yes,yes,catalog_record
code:ingles-para-reunioes-frases-para-participar-sem-travar,,versioned_code,ingles-para-reunioes-frases-para-participar-sem-travar,Inglês para reuniões: frases para participar sem travar,Inglês para reuniões: frases para participar sem travar,https://vediums.com/blog/ingles/ingles-para-reunioes-frases-para-participar-sem-travar,pt-BR,ingles,Inglês,d99dfe3c41d953aa4b7bf8e616c75bfc7cc01f120df192b235b29fcf1ff20b38,2649,https://vediums.com/blog/ingles/ingles-para-reunioes-frases-para-participar-sem-travar,yes,yes,catalog_record
code:os-erros-que-travam-brasileiros-no-ingles-basico,,versioned_code,os-erros-que-travam-brasileiros-no-ingles-basico,Os erros que travam brasileiros no inglês básico,Os erros que travam brasileiros no inglês básico,https://vediums.com/blog/ingles/os-erros-que-travam-brasileiros-no-ingles-basico,pt-BR,ingles,Inglês,ec1dc1041208125f37532aba109a29645a6e3429b8b539248f5f6504b9fd6141,2453,https://vediums.com/blog/ingles/os-erros-que-travam-brasileiros-no-ingles-basico,yes,yes,catalog_record
