group_ids,url,status_code,location,canonical,expected_canonical,canonical_matches_catalog,h1,rendered_content_hash,rendered_words
live-title-013,https://vediums.com/blog/como-usar-perguntas-culturais-para-aprofundar-a-aula,200,,https://vediums.com/blog/como-usar-perguntas-culturais-para-aprofundar-a-aula,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,no,Como usar perguntas culturais para aprofundar a aula,46967c3c1495700ce305fafc06e05808f22c1cd8527c5449a26a59f465873221,2772
live-title-003,https://vediums.com/blog/how-to-ask-better-questions-in-brazilian-portuguese,200,,https://vediums.com/blog/how-to-ask-better-questions-in-brazilian-portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,no,How to ask better questions in Brazilian Portuguese,fd53a56a32f129e6233f788a3a08262a9c8ef1a5266e10eba326599fff93da79,2787
live-title-024,https://vediums.com/blog/how-to-greet-people-in-brazil-without-sounding-too-formal,200,,https://vediums.com/blog/how-to-greet-people-in-brazil-without-sounding-too-formal,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,no,How to greet people in Brazil without sounding too formal,f7c2875a64f845aad2518fd50c98c877f40a8a5197a6e9d87427ee5604bce12c,2097
live-title-017,https://vediums.com/blog/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,200,,https://vediums.com/blog/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,no,"How to sound natural when saying yes, no and maybe in Portuguese",2bd0f0cca0a2123b0092b9045e79c6033387f87134599dd7807ddeb87d0f22cf,1051
live-title-011,https://vediums.com/blog/how-to-use-live-classes-to-gain-speaking-confidence,200,,https://vediums.com/blog/how-to-use-live-classes-to-gain-speaking-confidence,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,no,How to use live classes to gain speaking confidence,3b3e08a8f177f8fc6b06c97a7d846eec901b18bc8c750de0e3e78bfc00cee38b,2763
live-title-025,https://vediums.com/blog/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,200,,https://vediums.com/blog/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,no,Inglês ao vivo ou gravado: o que muda na evolução do speaking,125450c02bdc976caa8109b41b66c60dddc1f54aee345f6418ce14abaf63c2c5,1899
live-title-018,https://vediums.com/blog/ingles-para-conversas-por-telefone-e-chamadas-de-video,200,,https://vediums.com/blog/ingles-para-conversas-por-telefone-e-chamadas-de-video,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,no,Inglês para conversas por telefone e chamadas de vídeo: Guia Prático de Fluência,6d40813429b430e198b2defe199636c6044cf33ad04faf49e86fcd0a5de62c07,821
live-title-008,https://vediums.com/blog/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,200,,https://vediums.com/blog/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,no,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,802533ccb14340344a225725a56b6849f393bdf868040351693907303e613c60,2446
live-title-004,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,200,,https://vediums.com/blog/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,https://vediums.com/blog/ingles/como-a-pratica-constante-supera-maratonas-de-estudo-em-ingles,no,Como a prática constante supera maratonas de estudo em inglês,c7c93e34481e2ddaf6feb8bf0fa0031a7e8fa631ee2d93e0c08306cdf7a15883,2617
live-title-012,https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,200,,https://vediums.com/blog/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,no,"Como combinar leitura, escuta, fala e escrita no mesmo plano",3a47cafaa5e7f45e335cb28c032349d72eeee84ce42fda4d59b833c8899bbf12,2481
live-title-029,https://vediums.com/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,200,,https://vediums.com/blog/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,https://vediums.com/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,no,Como saber seu nível real de inglês antes de escolher um curso,05bc50b5be96ae52958da92e2af09524952a9f103b61d25ea840cdb59e867eed,1660
live-title-025,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,200,,https://vediums.com/blog/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,no,Inglês ao vivo ou gravado: o que muda na evolução do speaking,125450c02bdc976caa8109b41b66c60dddc1f54aee345f6418ce14abaf63c2c5,1899
live-title-018,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,200,,https://vediums.com/blog/ingles-para-conversas-por-telefone-e-chamadas-de-video,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,no,Inglês para conversas por telefone e chamadas de vídeo: Guia Prático de Fluência,6d40813429b430e198b2defe199636c6044cf33ad04faf49e86fcd0a5de62c07,821
live-title-008,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,200,,https://vediums.com/blog/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,no,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,802533ccb14340344a225725a56b6849f393bdf868040351693907303e613c60,2446
live-title-005,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,200,,https://vediums.com/blog/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,https://vediums.com/blog/ioruba/como-avaliar-se-um-conteudo-de-ioruba-e-serio-e-responsavel,no,Como avaliar se um conteúdo de iorubá é sério e responsável,eb24c1920336511ef9638331e8dc01cbc30bb3dc9075b402880047ef7c0747b3,2339
live-title-019,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,200,,https://vediums.com/blog/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,no,Como manter constância no estudo de uma língua de herança,efbba9435e43f533008e0d8882f792f640cea942d05c0fa0e1312059f5d532a8,2508
live-title-026,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,200,,https://vediums.com/blog/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,no,Como os tons mudam o significado das palavras em iorubá,d7cb6db327f96fe8d5fceeb727599d223f1a5f6812613391d4065b0f290b440e,1981
live-title-013,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,200,,https://vediums.com/blog/como-usar-perguntas-culturais-para-aprofundar-a-aula,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,no,Como usar perguntas culturais para aprofundar a aula,46967c3c1495700ce305fafc06e05808f22c1cd8527c5449a26a59f465873221,2772
live-title-015,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,200,,https://vediums.com/blog/o-papel-do-professor-qualificado-no-ensino-de-ioruba,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,no,O papel do professor qualificado no ensino de iorubá,c1e50a5a1635812af2cf1921aa72131b14791fc7b0f19c8ad88292eddbf753fe,762
live-title-030,https://vediums.com/blog/ioruba/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,200,,https://vediums.com/blog/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,https://vediums.com/blog/ioruba/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,no,O que é o idioma iorubá e por que ele carrega cultura e memória,b4392b99f326aefdef0602a324631a0a4e582c2171174ccd8cfd2b174ab7f33f,1751
live-title-001,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,200,,https://vediums.com/blog/plano-de-30-dias-para-comecar-ioruba-com-base-solida,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,no,Plano de 30 dias para começar iorubá com base sólida,bbd8002516098b3624250493499fa5cbce6f6c46caaf8a4369b400eab2993e83,2769
live-title-022,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,200,,https://vediums.com/blog/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,no,Primeiras saudações em iorubá para aprender com respeito,b6728463657d3058813adbd42cfddfead66e0b8c81b5ba2c7b90e5c8c34bec1b,2041
live-title-009,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,200,,https://vediums.com/blog/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,no,Vocabulário de relações sociais em iorubá: comunidade e respeito,c5999497426ed18bed55e8ab5968436c43fbbbea6c6c4df109bf907434c9ca9a,2379
live-title-015,https://vediums.com/blog/o-papel-do-professor-qualificado-no-ensino-de-ioruba,200,,https://vediums.com/blog/o-papel-do-professor-qualificado-no-ensino-de-ioruba,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,no,O papel do professor qualificado no ensino de iorubá,c1e50a5a1635812af2cf1921aa72131b14791fc7b0f19c8ad88292eddbf753fe,762
live-title-030,https://vediums.com/blog/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,200,,https://vediums.com/blog/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,https://vediums.com/blog/ioruba/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,no,O que é o idioma iorubá e por que ele carrega cultura e memória,b4392b99f326aefdef0602a324631a0a4e582c2171174ccd8cfd2b174ab7f33f,1751
live-title-001,https://vediums.com/blog/plano-de-30-dias-para-comecar-ioruba-com-base-solida,200,,https://vediums.com/blog/plano-de-30-dias-para-comecar-ioruba-com-base-solida,https://vediums.com/blog/ioruba/plano-de-30-dias-para-comecar-ioruba-com-base-solida,no,Plano de 30 dias para começar iorubá com base sólida,bbd8002516098b3624250493499fa5cbce6f6c46caaf8a4369b400eab2993e83,2769
live-title-010,https://vediums.com/blog/ple-ru-077,200,,https://vediums.com/blog/ple-ru-077,https://vediums.com/blog/ple-ru-077,yes,Реалистичный план изучения бразильского португальского на 90 дней,1c816c604ac21faea7c98e634245e9748dd37f24ee5e425ff0f330f08db1bfd5,2538
live-title-006,https://vediums.com/blog/ple-zh-078,200,,https://vediums.com/blog/ple-zh-078,https://vediums.com/blog/ple-zh-078,yes,90天建立巴西葡萄牙语基础的计划,796c08b8fca790863c50ce5820a4adb3e101f50eb58f7be8a8481d28feb10361,530
live-title-027,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,200,,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,yes,Portugais brésilien pour expatriés : les bases avant de vivre au Brésil,eb3300268f04b1ef21ab32ffc4e861155f4aef3ee7c81af5c7db44b1424518b9,1934
live-title-020,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,200,,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,yes,Portugais du Brésil pour familles qui s'installent au Brésil,c848fceff343349e17f14eb653bc51323d21900a0a1a74b96bd328815ccb992a,1027
live-title-014,https://vediums.com/blog/portugues-brasileno-para-llegar-a-brasil-preparado,200,,https://vediums.com/blog/portugues-brasileno-para-llegar-a-brasil-preparado,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,no,Portugués brasileño para llegar a Brasil preparado,465ff8e1b706814a0551527f6d51a846469f5766301a55556001ceeb636cd191,2254
live-title-007,https://vediums.com/blog/portuguese-for-airport-arrival-and-first-hotel-check-in,200,,https://vediums.com/blog/portuguese-for-airport-arrival-and-first-hotel-check-in,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,no,Portuguese for airport arrival and first hotel check-in,e5300da5d6fd06f04908cd8759c2ae707854f9b0356328a935691476ca188274,2699
live-title-002,https://vediums.com/blog/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,200,,https://vediums.com/blog/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,no,Portuguese for Brazil: a realistic study path from A1 to B1,a9eda0ffde3d5756d23198f07e5402344cd45ce7e5a6944fb0855a703ed3c9b8,2404
live-title-021,https://vediums.com/blog/portuguese-for-everyday-bureaucracy-in-brazil,200,,https://vediums.com/blog/portuguese-for-everyday-bureaucracy-in-brazil,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,no,Portuguese for everyday bureaucracy in Brazil: Your survival guide,c2f08bc773d7f1fce5d305fd4f47a359c784fbfad49566c65438f10643fdf367,1082
live-title-022,https://vediums.com/blog/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,200,,https://vediums.com/blog/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,no,Primeiras saudações em iorubá para aprender com respeito,b6728463657d3058813adbd42cfddfead66e0b8c81b5ba2c7b90e5c8c34bec1b,2041
live-title-009,https://vediums.com/blog/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,200,,https://vediums.com/blog/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,no,Vocabulário de relações sociais em iorubá: comunidade e respeito,c5999497426ed18bed55e8ab5968436c43fbbbea6c6c4df109bf907434c9ca9a,2379
live-title-028,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,200,,https://vediums.com/blog/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,no,Brazilian Portuguese for expats: what to learn before your first month in Brazil,ad321d400aba7c4af358d1e77cdaebf8ed6a6eecd98f6eb4bda65b5143562bfb,2029
live-title-031,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,200,,https://vediums.com/blog/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,no,Brazilian Portuguese for relocation teams: what employees need before arrival,75adc502cb370b253d573cc9fbc1ea81518fd290304cf50bac5e4b6ce2285fe3,2041
live-title-003,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,200,,https://vediums.com/blog/how-to-ask-better-questions-in-brazilian-portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-ask-better-questions-in-brazilian-portuguese,no,How to ask better questions in Brazilian Portuguese,fd53a56a32f129e6233f788a3a08262a9c8ef1a5266e10eba326599fff93da79,2787
live-title-024,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,200,,https://vediums.com/blog/how-to-greet-people-in-brazil-without-sounding-too-formal,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,no,How to greet people in Brazil without sounding too formal,f7c2875a64f845aad2518fd50c98c877f40a8a5197a6e9d87427ee5604bce12c,2097
live-title-017,https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,200,,https://vediums.com/blog/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,no,"How to sound natural when saying yes, no and maybe in Portuguese",2bd0f0cca0a2123b0092b9045e79c6033387f87134599dd7807ddeb87d0f22cf,1051
live-title-011,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,200,,https://vediums.com/blog/how-to-use-live-classes-to-gain-speaking-confidence,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,no,How to use live classes to gain speaking confidence,3b3e08a8f177f8fc6b06c97a7d846eec901b18bc8c750de0e3e78bfc00cee38b,2763
live-title-007,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,200,,https://vediums.com/blog/portuguese-for-airport-arrival-and-first-hotel-check-in,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,no,Portuguese for airport arrival and first hotel check-in,e5300da5d6fd06f04908cd8759c2ae707854f9b0356328a935691476ca188274,2699
live-title-002,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,200,,https://vediums.com/blog/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-brazil-a-realistic-study-path-from-a1-to-b1,no,Portuguese for Brazil: a realistic study path from A1 to B1,a9eda0ffde3d5756d23198f07e5402344cd45ce7e5a6944fb0855a703ed3c9b8,2404
live-title-021,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,200,,https://vediums.com/blog/portuguese-for-everyday-bureaucracy-in-brazil,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,no,Portuguese for everyday bureaucracy in Brazil: Your survival guide,c2f08bc773d7f1fce5d305fd4f47a359c784fbfad49566c65438f10643fdf367,1082
live-title-014,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,200,,https://vediums.com/blog/portugues-brasileno-para-llegar-a-brasil-preparado,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,no,Portugués brasileño para llegar a Brasil preparado,465ff8e1b706814a0551527f6d51a846469f5766301a55556001ceeb636cd191,2254
