group_id,title,occurrences,unique_urls,unique_titles,duplicate_kind,page,position,url,tag
live-title-006,90天建立巴西葡萄牙语基础的计划,2,1,1,same_href_repeated,2,11,https://vediums.com/blog/ple-zh-078,中文
live-title-006,90天建立巴西葡萄牙语基础的计划,2,1,1,same_href_repeated,2,12,https://vediums.com/blog/ple-zh-078,Português para Estrangeiros
live-title-007,Portuguese for airport arrival and first hotel check-in,2,2,1,same_title_multiple_urls,3,1,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-airport-arrival-and-first-hotel-check-in,Brazilian Portuguese
live-title-007,Portuguese for airport arrival and first hotel check-in,2,2,1,same_title_multiple_urls,3,2,https://vediums.com/blog/portuguese-for-airport-arrival-and-first-hotel-check-in,Português para Estrangeiros
live-title-008,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,2,2,1,same_title_multiple_urls,3,3,https://vediums.com/blog/ingles/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,Inglês
live-title-008,Inglês para quem quer estudar fora: vocabulário acadêmico inicial,2,2,1,same_title_multiple_urls,3,4,https://vediums.com/blog/ingles-para-quem-quer-estudar-fora-vocabulario-academico-inicial,Inglês
live-title-009,Vocabulário de relações sociais em iorubá: comunidade e respeito,2,2,1,same_title_multiple_urls,3,5,https://vediums.com/blog/ioruba/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,Iorubá
live-title-009,Vocabulário de relações sociais em iorubá: comunidade e respeito,2,2,1,same_title_multiple_urls,3,6,https://vediums.com/blog/vocabulario-de-relacoes-sociais-em-ioruba-comunidade-e-respeito,Iorubá
live-title-010,Реалистичный план изучения бразильского португальского на 90 дней,2,1,1,same_href_repeated,3,7,https://vediums.com/blog/ple-ru-077,Русский
live-title-010,Реалистичный план изучения бразильского португальского на 90 дней,2,1,1,same_href_repeated,3,8,https://vediums.com/blog/ple-ru-077,Português para Estrangeiros
live-title-011,How to use live classes to gain speaking confidence,2,2,1,same_title_multiple_urls,3,9,https://vediums.com/en/blog/brazilian-portuguese/how-to-use-live-classes-to-gain-speaking-confidence,Brazilian Portuguese
live-title-011,How to use live classes to gain speaking confidence,2,2,1,same_title_multiple_urls,3,10,https://vediums.com/blog/how-to-use-live-classes-to-gain-speaking-confidence,Português para Estrangeiros
live-title-012,"Como combinar leitura, escuta, fala e escrita no mesmo plano",2,2,1,same_title_multiple_urls,3,11,https://vediums.com/blog/ingles/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,Inglês
live-title-012,"Como combinar leitura, escuta, fala e escrita no mesmo plano",2,2,1,same_title_multiple_urls,3,12,https://vediums.com/blog/como-combinar-leitura-escuta-fala-e-escrita-no-mesmo-plano,Inglês
live-title-013,Como usar perguntas culturais para aprofundar a aula,2,2,1,same_title_multiple_urls,4,1,https://vediums.com/blog/ioruba/como-usar-perguntas-culturais-para-aprofundar-a-aula,Iorubá
live-title-013,Como usar perguntas culturais para aprofundar a aula,2,2,1,same_title_multiple_urls,4,2,https://vediums.com/blog/como-usar-perguntas-culturais-para-aprofundar-a-aula,Iorubá
live-title-014,Portugués brasileño para llegar a Brasil preparado,2,2,1,same_title_multiple_urls,4,3,https://vediums.com/es/blog/portugues-brasileno/portugues-brasileno-para-llegar-a-brasil-preparado,Portugués brasileño
live-title-014,Portugués brasileño para llegar a Brasil preparado,2,2,1,same_title_multiple_urls,4,4,https://vediums.com/blog/portugues-brasileno-para-llegar-a-brasil-preparado,Português para Estrangeiros
live-title-015,O papel do professor qualificado no ensino de iorubá,2,2,1,same_title_multiple_urls,4,9,https://vediums.com/blog/ioruba/o-papel-do-professor-qualificado-no-ensino-de-ioruba,Iorubá
live-title-015,O papel do professor qualificado no ensino de iorubá,2,2,1,same_title_multiple_urls,4,10,https://vediums.com/blog/o-papel-do-professor-qualificado-no-ensino-de-ioruba,Iorubá
live-title-016,Brasilianisches Portugiesisch für Führungskräfte und Manager,2,1,1,same_href_repeated,4,11,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,Deutsch
live-title-016,Brasilianisches Portugiesisch für Führungskräfte und Manager,2,1,1,same_href_repeated,4,12,https://vediums.com/blog/brasilianisches-portugiesisch-fur-fuhrungskrafte-und-manager,Português para Estrangeiros
live-title-017,"How to sound natural when saying yes, no and maybe in Portuguese",2,2,1,same_title_multiple_urls,5,2,https://vediums.com/en/blog/brazilian-portuguese/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,Brazilian Portuguese
live-title-017,"How to sound natural when saying yes, no and maybe in Portuguese",2,2,1,same_title_multiple_urls,5,3,https://vediums.com/blog/how-to-sound-natural-when-saying-yes-no-and-maybe-in-portuguese,Português para Estrangeiros
live-title-018,Inglês para conversas por telefone e chamadas de vídeo: Guia Prático de Fluência,2,2,1,same_title_multiple_urls,5,4,https://vediums.com/blog/ingles/ingles-para-conversas-por-telefone-e-chamadas-de-video,Inglês
live-title-018,Inglês para conversas por telefone e chamadas de vídeo: Guia Prático de Fluência,2,2,1,same_title_multiple_urls,5,5,https://vediums.com/blog/ingles-para-conversas-por-telefone-e-chamadas-de-video,Inglês
live-title-019,Como manter constância no estudo de uma língua de herança,2,2,1,same_title_multiple_urls,5,6,https://vediums.com/blog/ioruba/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,Iorubá
live-title-019,Como manter constância no estudo de uma língua de herança,2,2,1,same_title_multiple_urls,5,7,https://vediums.com/blog/como-manter-constancia-no-estudo-de-uma-lingua-de-heranca,Iorubá
live-title-020,Portugais du Brésil pour familles qui s'installent au Brésil.md,2,1,2,same_href_title_mismatch,5,8,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,Français
live-title-020,Portugais du Brésil pour familles qui s'installent au Brésil,2,1,2,same_href_title_mismatch,5,9,https://vediums.com/blog/portugais-du-bresil-pour-familles-qui-s-installent-au-bresil,Português para Estrangeiros
live-title-021,Portuguese for everyday bureaucracy in Brazil: Your survival guide,2,2,1,same_title_multiple_urls,5,10,https://vediums.com/en/blog/brazilian-portuguese/portuguese-for-everyday-bureaucracy-in-brazil,Brazilian Portuguese
live-title-021,Portuguese for everyday bureaucracy in Brazil: Your survival guide,2,2,1,same_title_multiple_urls,5,11,https://vediums.com/blog/portuguese-for-everyday-bureaucracy-in-brazil,Português para Estrangeiros
live-title-022,Primeiras saudações em iorubá para aprender com respeito,2,2,1,same_title_multiple_urls,10,3,https://vediums.com/blog/ioruba/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,Iorubá
live-title-022,Primeiras saudações em iorubá para aprender com respeito,2,2,1,same_title_multiple_urls,10,4,https://vediums.com/blog/primeiras-saudacoes-em-ioruba-para-aprender-com-respeito,Iorubá
live-title-023,Brasilianisches Portugiesisch für Auswanderer: die wichtigsten Grundlagen,2,1,1,same_href_repeated,10,5,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,Deutsch
live-title-023,Brasilianisches Portugiesisch für Auswanderer: die wichtigsten Grundlagen,2,1,1,same_href_repeated,10,6,https://vediums.com/blog/brasilianisches-portugiesisch-fur-auswanderer-die-wichtigsten-grundlagen,Português para Estrangeiros
live-title-024,How to greet people in Brazil without sounding too formal,2,2,1,same_title_multiple_urls,10,7,https://vediums.com/en/blog/brazilian-portuguese/how-to-greet-people-in-brazil-without-sounding-too-formal,Brazilian Portuguese
live-title-024,How to greet people in Brazil without sounding too formal,2,2,1,same_title_multiple_urls,10,8,https://vediums.com/blog/how-to-greet-people-in-brazil-without-sounding-too-formal,Português para Estrangeiros
live-title-025,Inglês ao vivo ou gravado: o que muda na evolução do speaking,2,2,1,same_title_multiple_urls,10,9,https://vediums.com/blog/ingles/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,Inglês
live-title-025,Inglês ao vivo ou gravado: o que muda na evolução do speaking,2,2,1,same_title_multiple_urls,10,10,https://vediums.com/blog/ingles-ao-vivo-ou-gravado-o-que-muda-na-evolucao-do-speaking,Inglês
live-title-026,Como os tons mudam o significado das palavras em iorubá,2,2,1,same_title_multiple_urls,10,11,https://vediums.com/blog/ioruba/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,Iorubá
live-title-026,Como os tons mudam o significado das palavras em iorubá,2,2,1,same_title_multiple_urls,10,12,https://vediums.com/blog/como-os-tons-mudam-o-significado-das-palavras-em-ioruba,Iorubá
live-title-027,Portugais brésilien pour expatriés : les bases avant de vivre au Brésil,2,1,1,same_href_repeated,11,1,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,Français
live-title-027,Portugais brésilien pour expatriés : les bases avant de vivre au Brésil,2,1,1,same_href_repeated,11,2,https://vediums.com/blog/portugais-bresilien-pour-expatries-les-bases-avant-de-vivre-au-bresil,Português para Estrangeiros
live-title-028,Brazilian Portuguese for expats: what to learn before your first month in Brazil,2,2,1,same_title_multiple_urls,11,3,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,Brazilian Portuguese
live-title-028,Brazilian Portuguese for expats: what to learn before your first month in Brazil,2,2,1,same_title_multiple_urls,11,4,https://vediums.com/blog/brazilian-portuguese-for-expats-what-to-learn-before-your-first-month-in-brazil,Português para Estrangeiros
live-title-029,Como saber seu nível real de inglês antes de escolher um curso,2,2,1,same_title_multiple_urls,11,5,https://vediums.com/blog/ingles/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,Inglês
live-title-029,Como saber seu nível real de inglês antes de escolher um curso,2,2,1,same_title_multiple_urls,11,6,https://vediums.com/blog/como-saber-seu-nivel-real-de-ingles-antes-de-escolher-um-curso,Inglês
live-title-030,O que é o idioma iorubá e por que ele carrega cultura e memória,2,2,1,same_title_multiple_urls,11,7,https://vediums.com/blog/ioruba/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,Iorubá
live-title-030,O que é o idioma iorubá e por que ele carrega cultura e memória,2,2,1,same_title_multiple_urls,11,8,https://vediums.com/blog/o-que-e-o-idioma-ioruba-e-por-que-ele-carrega-cultura-e-memoria,Iorubá
live-title-031,Brazilian Portuguese for relocation teams: what employees need before arrival,2,2,1,same_title_multiple_urls,11,9,https://vediums.com/en/blog/brazilian-portuguese/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,Brazilian Portuguese
live-title-031,Brazilian Portuguese for relocation teams: what employees need before arrival,2,2,1,same_title_multiple_urls,11,10,https://vediums.com/blog/brazilian-portuguese-for-relocation-teams-what-employees-need-before-arrival,Português para Estrangeiros
